Topic Code,Topic Name,Topic Description,Variable Code,Variable Name
ACCOMMODATION_TYPE,Accommodation Type,"The type of building or structure used by an individual or household. This could be: a whole house or bungalow (detached, semi-detached, terraced); a flat, maisonette or apartment (in a purpose built block of flats, part of a converted or shared house, in a commercial building); or a mobile or temporary structure, such as a caravan.",1,Whole house or bungalow: Detached
ACCOMMODATION_TYPE,Accommodation Type,"The type of building or structure used by an individual or household. This could be: a whole house or bungalow (detached, semi-detached, terraced); a flat, maisonette or apartment (in a purpose built block of flats, part of a converted or shared house, in a commercial building); or a mobile or temporary structure, such as a caravan.",2,Whole house or bungalow: Semi-detached
ACCOMMODATION_TYPE,Accommodation Type,"The type of building or structure used by an individual or household. This could be: a whole house or bungalow (detached, semi-detached, terraced); a flat, maisonette or apartment (in a purpose built block of flats, part of a converted or shared house, in a commercial building); or a mobile or temporary structure, such as a caravan.",3,Whole house or bungalow: Terraced (including end-terrace)
ACCOMMODATION_TYPE,Accommodation Type,"The type of building or structure used by an individual or household. This could be: a whole house or bungalow (detached, semi-detached, terraced); a flat, maisonette or apartment (in a purpose built block of flats, part of a converted or shared house, in a commercial building); or a mobile or temporary structure, such as a caravan.",4,"Flat, maisonette or apartment: Purpose-built block of flats"
ACCOMMODATION_TYPE,Accommodation Type,"The type of building or structure used by an individual or household. This could be: a whole house or bungalow (detached, semi-detached, terraced); a flat, maisonette or apartment (in a purpose built block of flats, part of a converted or shared house, in a commercial building); or a mobile or temporary structure, such as a caravan.",5,"Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)"
ACCOMMODATION_TYPE,Accommodation Type,"The type of building or structure used by an individual or household. This could be: a whole house or bungalow (detached, semi-detached, terraced); a flat, maisonette or apartment (in a purpose built block of flats, part of a converted or shared house, in a commercial building); or a mobile or temporary structure, such as a caravan.",6,"Flat, maisonette or apartment: In a commercial building (for example in an office building, hotel, or over a shop)"
ACCOMMODATION_TYPE,Accommodation Type,"The type of building or structure used by an individual or household. This could be: a whole house or bungalow (detached, semi-detached, terraced); a flat, maisonette or apartment (in a purpose built block of flats, part of a converted or shared house, in a commercial building); or a mobile or temporary structure, such as a caravan.",7,Caravan or other mobile or temporary structure
ACCOMMODATION_TYPE_AGG2,Accommodation Type - 2 Categories,"The type of building or structure used by an individual or household. This could be: a whole house or bungalow (detached, semi-detached, terraced); a flat, maisonette or apartment (in a purpose built block of flats, part of a converted or shared house, in a commercial building); or a mobile or temporary structure, such as a caravan.",1,Whole house or bungalow
ACCOMMODATION_TYPE_AGG2,Accommodation Type - 2 Categories,"The type of building or structure used by an individual or household. This could be: a whole house or bungalow (detached, semi-detached, terraced); a flat, maisonette or apartment (in a purpose built block of flats, part of a converted or shared house, in a commercial building); or a mobile or temporary structure, such as a caravan.",2,"Flat, maisonette or apartment, a caravan or other mobile or temporary structure"
ACCOMMODATION_TYPE_AGG4,Accommodation Type - 4 Categories,"The type of building or structure used by an individual or household. This could be: a whole house or bungalow (detached, semi-detached, terraced); a flat, maisonette or apartment (in a purpose built block of flats, part of a converted or shared house, in a commercial building); or a mobile or temporary structure, such as a caravan.",1,Whole house or bungalow: Detached
ACCOMMODATION_TYPE_AGG4,Accommodation Type - 4 Categories,"The type of building or structure used by an individual or household. This could be: a whole house or bungalow (detached, semi-detached, terraced); a flat, maisonette or apartment (in a purpose built block of flats, part of a converted or shared house, in a commercial building); or a mobile or temporary structure, such as a caravan.",2,Whole house or bungalow: Semi-detached
ACCOMMODATION_TYPE_AGG4,Accommodation Type - 4 Categories,"The type of building or structure used by an individual or household. This could be: a whole house or bungalow (detached, semi-detached, terraced); a flat, maisonette or apartment (in a purpose built block of flats, part of a converted or shared house, in a commercial building); or a mobile or temporary structure, such as a caravan.",3,Whole house or bungalow: Terraced (including end-terrace)
ACCOMMODATION_TYPE_AGG4,Accommodation Type - 4 Categories,"The type of building or structure used by an individual or household. This could be: a whole house or bungalow (detached, semi-detached, terraced); a flat, maisonette or apartment (in a purpose built block of flats, part of a converted or shared house, in a commercial building); or a mobile or temporary structure, such as a caravan.",4,"Flat, maisonette or apartment, a caravan or other mobile or temporary structure"
COUNTY_NI,County,These are the six counties of Northern Ireland. This geography has been approximated by aggregating the Census 2021 Data Zones. More information on Census 2021 Data Zones is available at https://www.nisra.gov.uk/publications/census-2021-output-geography-information-papers,1,Antrim
COUNTY_NI,County,These are the six counties of Northern Ireland. This geography has been approximated by aggregating the Census 2021 Data Zones. More information on Census 2021 Data Zones is available at https://www.nisra.gov.uk/publications/census-2021-output-geography-information-papers,2,Armagh
COUNTY_NI,County,These are the six counties of Northern Ireland. This geography has been approximated by aggregating the Census 2021 Data Zones. More information on Census 2021 Data Zones is available at https://www.nisra.gov.uk/publications/census-2021-output-geography-information-papers,3,Derry/Londonderry
COUNTY_NI,County,These are the six counties of Northern Ireland. This geography has been approximated by aggregating the Census 2021 Data Zones. More information on Census 2021 Data Zones is available at https://www.nisra.gov.uk/publications/census-2021-output-geography-information-papers,4,Down
COUNTY_NI,County,These are the six counties of Northern Ireland. This geography has been approximated by aggregating the Census 2021 Data Zones. More information on Census 2021 Data Zones is available at https://www.nisra.gov.uk/publications/census-2021-output-geography-information-papers,5,Fermanagh
COUNTY_NI,County,These are the six counties of Northern Ireland. This geography has been approximated by aggregating the Census 2021 Data Zones. More information on Census 2021 Data Zones is available at https://www.nisra.gov.uk/publications/census-2021-output-geography-information-papers,6,Tyrone
DEA14,District Electoral Area 2014,These 80 District Electoral Areas are an established administrative geography; they were introduced in 2015 and nest within the current 11 Local Government Districts.,N10000101,Airport
DEA14,District Electoral Area 2014,These 80 District Electoral Areas are an established administrative geography; they were introduced in 2015 and nest within the current 11 Local Government Districts.,N10000102,Antrim
