Topic Code,Topic Name,Topic Description,Variable Code,Variable Name
ACCOMMODATION_TYPE_AGG3_PERS,Household: Accommodation Type - 3 Categories,"Identifies whether a person lives in a household by the type of building or structure. This could be: a whole house or bungalow (detached, semi-detached, terraced); a flat, maisonette or apartment (in a purpose built block of flats, part of a converted or shared house, in a commercial building); or a mobile or temporary structure, such as a caravan. This variable applies to all people living in households. As such, this variable reports 'No code required' for the subset of the population living in communal establishments.",1,Whole house or bungalow
ACCOMMODATION_TYPE_AGG3_PERS,Household: Accommodation Type - 3 Categories,"Identifies whether a person lives in a household by the type of building or structure. This could be: a whole house or bungalow (detached, semi-detached, terraced); a flat, maisonette or apartment (in a purpose built block of flats, part of a converted or shared house, in a commercial building); or a mobile or temporary structure, such as a caravan. This variable applies to all people living in households. As such, this variable reports 'No code required' for the subset of the population living in communal establishments.",2,"Flat, maisonette or apartment, a caravan or other mobile or temporary structure"
ACCOMMODATION_TYPE_AGG3_PERS,Household: Accommodation Type - 3 Categories,"Identifies whether a person lives in a household by the type of building or structure. This could be: a whole house or bungalow (detached, semi-detached, terraced); a flat, maisonette or apartment (in a purpose built block of flats, part of a converted or shared house, in a commercial building); or a mobile or temporary structure, such as a caravan. This variable applies to all people living in households. As such, this variable reports 'No code required' for the subset of the population living in communal establishments.",-8,No code required
ACCOMMODATION_TYPE_AGG5_PERS,Household: Accommodation Type - 5 Categories,"Identifies whether a person lives in a household by the type of building or structure. This could be: a whole house or bungalow (detached, semi-detached, terraced); a flat, maisonette or apartment (in a purpose built block of flats, part of a converted or shared house, in a commercial building); or a mobile or temporary structure, such as a caravan. This variable applies to all people living in households. As such, this variable reports 'No code required' for the subset of the population living in communal establishments.",1,Whole house or bungalow: Detached
ACCOMMODATION_TYPE_AGG5_PERS,Household: Accommodation Type - 5 Categories,"Identifies whether a person lives in a household by the type of building or structure. This could be: a whole house or bungalow (detached, semi-detached, terraced); a flat, maisonette or apartment (in a purpose built block of flats, part of a converted or shared house, in a commercial building); or a mobile or temporary structure, such as a caravan. This variable applies to all people living in households. As such, this variable reports 'No code required' for the subset of the population living in communal establishments.",2,Whole house or bungalow: Semi-detached
ACCOMMODATION_TYPE_AGG5_PERS,Household: Accommodation Type - 5 Categories,"Identifies whether a person lives in a household by the type of building or structure. This could be: a whole house or bungalow (detached, semi-detached, terraced); a flat, maisonette or apartment (in a purpose built block of flats, part of a converted or shared house, in a commercial building); or a mobile or temporary structure, such as a caravan. This variable applies to all people living in households. As such, this variable reports 'No code required' for the subset of the population living in communal establishments.",3,Whole house or bungalow: Terraced (including end-terrace)
ACCOMMODATION_TYPE_AGG5_PERS,Household: Accommodation Type - 5 Categories,"Identifies whether a person lives in a household by the type of building or structure. This could be: a whole house or bungalow (detached, semi-detached, terraced); a flat, maisonette or apartment (in a purpose built block of flats, part of a converted or shared house, in a commercial building); or a mobile or temporary structure, such as a caravan. This variable applies to all people living in households. As such, this variable reports 'No code required' for the subset of the population living in communal establishments.",4,"Flat, maisonette or apartment, a caravan or other mobile or temporary structure"
ACCOMMODATION_TYPE_AGG5_PERS,Household: Accommodation Type - 5 Categories,"Identifies whether a person lives in a household by the type of building or structure. This could be: a whole house or bungalow (detached, semi-detached, terraced); a flat, maisonette or apartment (in a purpose built block of flats, part of a converted or shared house, in a commercial building); or a mobile or temporary structure, such as a caravan. This variable applies to all people living in households. As such, this variable reports 'No code required' for the subset of the population living in communal establishments.",-8,No code required
ACCOMMODATION_TYPE_PERS,Household: Accommodation Type,"Identifies whether a person lives in a household by the type of building or structure. This could be: a whole house or bungalow (detached, semi-detached, terraced); a flat, maisonette or apartment (in a purpose built block of flats, part of a converted or shared house, in a commercial building); or a mobile or temporary structure, such as a caravan. This variable applies to all people living in households. As such, this variable reports 'No code required' for the subset of the population living in communal establishments.",1,Whole house or bungalow: Detached
ACCOMMODATION_TYPE_PERS,Household: Accommodation Type,"Identifies whether a person lives in a household by the type of building or structure. This could be: a whole house or bungalow (detached, semi-detached, terraced); a flat, maisonette or apartment (in a purpose built block of flats, part of a converted or shared house, in a commercial building); or a mobile or temporary structure, such as a caravan. This variable applies to all people living in households. As such, this variable reports 'No code required' for the subset of the population living in communal establishments.",2,Whole house or bungalow: Semi-detached
ACCOMMODATION_TYPE_PERS,Household: Accommodation Type,"Identifies whether a person lives in a household by the type of building or structure. This could be: a whole house or bungalow (detached, semi-detached, terraced); a flat, maisonette or apartment (in a purpose built block of flats, part of a converted or shared house, in a commercial building); or a mobile or temporary structure, such as a caravan. This variable applies to all people living in households. As such, this variable reports 'No code required' for the subset of the population living in communal establishments.",3,Whole house or bungalow: Terraced (including end-terrace)
ACCOMMODATION_TYPE_PERS,Household: Accommodation Type,"Identifies whether a person lives in a household by the type of building or structure. This could be: a whole house or bungalow (detached, semi-detached, terraced); a flat, maisonette or apartment (in a purpose built block of flats, part of a converted or shared house, in a commercial building); or a mobile or temporary structure, such as a caravan. This variable applies to all people living in households. As such, this variable reports 'No code required' for the subset of the population living in communal establishments.",4,"Flat, maisonette or apartment: Purpose-built block of flats"
ACCOMMODATION_TYPE_PERS,Household: Accommodation Type,"Identifies whether a person lives in a household by the type of building or structure. This could be: a whole house or bungalow (detached, semi-detached, terraced); a flat, maisonette or apartment (in a purpose built block of flats, part of a converted or shared house, in a commercial building); or a mobile or temporary structure, such as a caravan. This variable applies to all people living in households. As such, this variable reports 'No code required' for the subset of the population living in communal establishments.",5,"Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)"
ACCOMMODATION_TYPE_PERS,Household: Accommodation Type,"Identifies whether a person lives in a household by the type of building or structure. This could be: a whole house or bungalow (detached, semi-detached, terraced); a flat, maisonette or apartment (in a purpose built block of flats, part of a converted or shared house, in a commercial building); or a mobile or temporary structure, such as a caravan. This variable applies to all people living in households. As such, this variable reports 'No code required' for the subset of the population living in communal establishments.",6,"Flat, maisonette or apartment: In a commercial building (for example in an office building, hotel, or over a shop)"
ACCOMMODATION_TYPE_PERS,Household: Accommodation Type,"Identifies whether a person lives in a household by the type of building or structure. This could be: a whole house or bungalow (detached, semi-detached, terraced); a flat, maisonette or apartment (in a purpose built block of flats, part of a converted or shared house, in a commercial building); or a mobile or temporary structure, such as a caravan. This variable applies to all people living in households. As such, this variable reports 'No code required' for the subset of the population living in communal establishments.",7,Caravan or other mobile or temporary structure
ACCOMMODATION_TYPE_PERS,Household: Accommodation Type,"Identifies whether a person lives in a household by the type of building or structure. This could be: a whole house or bungalow (detached, semi-detached, terraced); a flat, maisonette or apartment (in a purpose built block of flats, part of a converted or shared house, in a commercial building); or a mobile or temporary structure, such as a caravan. This variable applies to all people living in households. As such, this variable reports 'No code required' for the subset of the population living in communal establishments.",-8,No code required
ADDRESS_ONE_YEAR_AGO_AGG6,Address One Year Ago,"Classifies people according to their place of residence 12 months before Census Day (21 March 2021). It provides an indicator of the movement of people within Northern Ireland and from outside Northern Ireland, in the one-year period before the census. This variable is applicable to people aged 1 and over. As such, this variable reports 'No code required' for the subset of the population where no response was expected.",1,Lived at same address one year ago
ADDRESS_ONE_YEAR_AGO_AGG6,Address One Year Ago,"Classifies people according to their place of residence 12 months before Census Day (21 March 2021). It provides an indicator of the movement of people within Northern Ireland and from outside Northern Ireland, in the one-year period before the census. This variable is applicable to people aged 1 and over. As such, this variable reports 'No code required' for the subset of the population where no response was expected.",2,Lived elsewhere one year ago; within Northern Ireland
ADDRESS_ONE_YEAR_AGO_AGG6,Address One Year Ago,"Classifies people according to their place of residence 12 months before Census Day (21 March 2021). It provides an indicator of the movement of people within Northern Ireland and from outside Northern Ireland, in the one-year period before the census. This variable is applicable to people aged 1 and over. As such, this variable reports 'No code required' for the subset of the population where no response was expected.",3,Lived elsewhere one year ago; outside Northern Ireland - within England/Scotland/Wales
ADDRESS_ONE_YEAR_AGO_AGG6,Address One Year Ago,"Classifies people according to their place of residence 12 months before Census Day (21 March 2021). It provides an indicator of the movement of people within Northern Ireland and from outside Northern Ireland, in the one-year period before the census. This variable is applicable to people aged 1 and over. As such, this variable reports 'No code required' for the subset of the population where no response was expected.",4,Lived elsewhere one year ago; outside Northern Ireland - within the Republic of Ireland
ADDRESS_ONE_YEAR_AGO_AGG6,Address One Year Ago,"Classifies people according to their place of residence 12 months before Census Day (21 March 2021). It provides an indicator of the movement of people within Northern Ireland and from outside Northern Ireland, in the one-year period before the census. This variable is applicable to people aged 1 and over. As such, this variable reports 'No code required' for the subset of the population where no response was expected.",5,Lived elsewhere one year ago; outside the UK and Republic of Ireland
ADDRESS_ONE_YEAR_AGO_AGG6,Address One Year Ago,"Classifies people according to their place of residence 12 months before Census Day (21 March 2021). It provides an indicator of the movement of people within Northern Ireland and from outside Northern Ireland, in the one-year period before the census. This variable is applicable to people aged 1 and over. As such, this variable reports 'No code required' for the subset of the population where no response was expected.",-8,No code required
ADDRESS_ONE_YEAR_AGO_NI_AGG4,Address One Year Ago - 4 Categories,"Classifies people according to their place of residence 12 months before Census Day (21 March 2021). It provides an indicator of the movement of people within Northern Ireland and from outside Northern Ireland, in the one-year period before the census. This variable is applicable to people aged 1 and over. As such, this variable reports 'No code required' for the subset of the population where no response was expected.",1,Lived at same address one year ago
ADDRESS_ONE_YEAR_AGO_NI_AGG4,Address One Year Ago - 4 Categories,"Classifies people according to their place of residence 12 months before Census Day (21 March 2021). It provides an indicator of the movement of people within Northern Ireland and from outside Northern Ireland, in the one-year period before the census. This variable is applicable to people aged 1 and over. As such, this variable reports 'No code required' for the subset of the population where no response was expected.",2,Lived elsewhere one year ago; within Northern Ireland
ADDRESS_ONE_YEAR_AGO_NI_AGG4,Address One Year Ago - 4 Categories,"Classifies people according to their place of residence 12 months before Census Day (21 March 2021). It provides an indicator of the movement of people within Northern Ireland and from outside Northern Ireland, in the one-year period before the census. This variable is applicable to people aged 1 and over. As such, this variable reports 'No code required' for the subset of the population where no response was expected.",3,Lived elsewhere one year ago; outside Northern Ireland
ADDRESS_ONE_YEAR_AGO_NI_AGG4,Address One Year Ago - 4 Categories,"Classifies people according to their place of residence 12 months before Census Day (21 March 2021). It provides an indicator of the movement of people within Northern Ireland and from outside Northern Ireland, in the one-year period before the census. This variable is applicable to people aged 1 and over. As such, this variable reports 'No code required' for the subset of the population where no response was expected.",-8,No code required
ADULT_LIFESTAGE_AGG11,Adult Lifestage - 11 Categories,"Adult Lifestage classifies adults in households by age and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",1,Age 16-24 years: No dependent children in household
ADULT_LIFESTAGE_AGG11,Adult Lifestage - 11 Categories,"Adult Lifestage classifies adults in households by age and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",2,Age 16-24 years: Dependent children in household
ADULT_LIFESTAGE_AGG11,Adult Lifestage - 11 Categories,"Adult Lifestage classifies adults in households by age and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",3,Age 25-34 years: No dependent children in household
ADULT_LIFESTAGE_AGG11,Adult Lifestage - 11 Categories,"Adult Lifestage classifies adults in households by age and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",4,Age 25-34 years: Dependent children in household
ADULT_LIFESTAGE_AGG11,Adult Lifestage - 11 Categories,"Adult Lifestage classifies adults in households by age and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",5,Age 35-54 years: No dependent children in household
ADULT_LIFESTAGE_AGG11,Adult Lifestage - 11 Categories,"Adult Lifestage classifies adults in households by age and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",6,Age 35-54 years: Dependent children in household
ADULT_LIFESTAGE_AGG11,Adult Lifestage - 11 Categories,"Adult Lifestage classifies adults in households by age and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",7,Age 55-65 years: No dependent children in household
ADULT_LIFESTAGE_AGG11,Adult Lifestage - 11 Categories,"Adult Lifestage classifies adults in households by age and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",8,Age 55-65 years: Dependent children in household
ADULT_LIFESTAGE_AGG11,Adult Lifestage - 11 Categories,"Adult Lifestage classifies adults in households by age and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",9,Age 66+ years: No dependent children in household
ADULT_LIFESTAGE_AGG11,Adult Lifestage - 11 Categories,"Adult Lifestage classifies adults in households by age and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",10,Age 66+ years: Dependent children in household
ADULT_LIFESTAGE_AGG11,Adult Lifestage - 11 Categories,"Adult Lifestage classifies adults in households by age and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",-8,No code required
ADULT_LIFESTAGE_AGG13,Adult Lifestage - 13 Categories,"Adult Lifestage classifies adults in households by age, whether they live in a one or two-or-more-person household, and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",1,Age 16-24 years: No dependent children in household
ADULT_LIFESTAGE_AGG13,Adult Lifestage - 13 Categories,"Adult Lifestage classifies adults in households by age, whether they live in a one or two-or-more-person household, and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",2,Age 16-24 years: Dependent children in household
ADULT_LIFESTAGE_AGG13,Adult Lifestage - 13 Categories,"Adult Lifestage classifies adults in households by age, whether they live in a one or two-or-more-person household, and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",3,Age 25-54 years: No dependent children in household
ADULT_LIFESTAGE_AGG13,Adult Lifestage - 13 Categories,"Adult Lifestage classifies adults in households by age, whether they live in a one or two-or-more-person household, and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",4,Age 25-54 years: Dependent children in household: Youngest dependent child in household aged 0-4 years
